sample size dtype nodeName trueTime dvalue
s13c1 77 brlen 216_13 36.0 0.005000000000034778
s13c1 77 brlen 216_14 36.0 0.005000000000034778
s13c1 77 brlen 216_15 31.0 0.005000000000089366
s13c1 77 brlen 216_16 31.0 0.005000000000089366
s13c1 77 brlen 216_17 25.0 0.005000000000053519
s13c1 77 brlen 216_18 25.0 0.005000000000053519
s13c1 77 brlen 216_19 25.0 0.0050000000000444255
s13c1 77 brlen 216_2 42.0 0.5377579072719109
s13c1 77 brlen 216_20 25.0 0.0050000000000444255
s13c1 77 brlen 216_21 28.0 0.20376879079330626
s13c1 77 brlen 216_22 28.0 0.20376879079330626
s13c1 77 brlen 216_23 25.0 0.5030536369067372
s13c1 77 brlen 216_24 25.0 0.5030536369067372
s13c1 77 brlen 216_25 24.0 0.31558610587485075
s13c1 77 brlen 216_26 24.0 0.31558610587485075
s13c1 77 brlen 216_27 20.0 0.892054766600556
s13c1 77 brlen 216_28 20.0 0.892054766600556
s13c1 77 brlen 216_29 19.0 0.6453940673862042
s13c1 77 brlen 216_3 39.0 0.8451919895475377
s13c1 77 brlen 216_30 19.0 0.6453940673862042
s13c1 77 brlen 216_31 17.0 0.00500000000003984
s13c1 77 brlen 216_32 17.0 0.005000000000039841
s13c1 77 brlen 216_33 5.0 0.8191480135146461
s13c1 77 brlen 216_34 5.0 0.8191480135146461
s13c1 77 brlen 216_35 11.0 1.0997201120575084
s13c1 77 brlen 216_36 11.0 1.0997201120575084
s13c1 77 brlen 216_4 39.0 0.8451919895475377
s13c1 77 brlen 216_43 18.0 0.005000000000069277
s13c1 77 brlen 216_44 18.0 0.005000000000069278
s13c1 77 brlen 216_45 19.0 0.2349346509597815
s13c1 77 brlen 216_46 19.0 0.2349346509597815
s13c1 77 brlen 216_5 29.0 0.0050000000000407635
s13c1 77 brlen 216_6 29.0 0.0050000000000407635
s13c1 77 brlen 216_7 31.0 0.005000000000034705
s13c1 77 brlen 216_8 31.0 0.005000000000034705
s13c1 77 brlen 216_9 25.0 0.7297711776709173
s13c1 77 brlen 23_2 22.0 0.19951606783797962
s13c1 77 brlen 27_1 26.0 0.005000000000112406
