sample,cellID,trueBrlen,method,estBrlen
s7c5/k10_r3,b'16_14',0.066,problin,0.004999999493720362
s7c5/k10_r3,b'15_3',0.42,spalin,0.12974254616981565
s7c5/k10_r3,b'15_3',0.42,problin,0.12274900518347803
s7c5/k10_r3,b'73_5',0.34800000000000003,spalin,0.34728920303616717
s7c5/k10_r3,b'73_5',0.34800000000000003,problin,0.5462335222064283
s7c5/k10_r3,b'16_5',0.258,spalin,0.1548044698727685
s7c5/k10_r3,b'16_5',0.258,problin,0.009999998541678812
s7c5/k10_r3,b'15_6',0.252,spalin,0.1155277326678114
s7c5/k10_r3,b'15_6',0.252,problin,0.004999999485318427
s7c5/k10_r3,b'16_7',0.006,spalin,0.039276737204957106
s7c5/k10_r3,b'16_7',0.006,problin,0.004999999056360386
s7c5/k10_r3,b'16_6',0.006,spalin,0.039276737204957106
s7c5/k10_r3,b'16_6',0.006,problin,0.004999999056360386
s7c5/k10_r3,b'66_6',0.306,spalin,0.2874329532526936
s7c5/k10_r3,b'66_6',0.306,problin,0.35453245798340927
s7c5/k10_r3,b'10_7',0.264,spalin,0.18724184569767838
s7c5/k10_r3,b'10_7',0.264,problin,0.19670106368538356
s7c5/k10_r3,b'16_9',0.036000000000000004,spalin,0.02741887395856366
s7c5/k10_r3,b'16_9',0.036000000000000004,problin,0.004999999079314205
s7c5/k10_r3,b'16_8',0.036000000000000004,spalin,0.02741887395856366
s7c5/k10_r3,b'16_8',0.036000000000000004,problin,0.004999999079314205
s7c5/k10_r3,b'07_8',0.246,spalin,0.16109327157960773
s7c5/k10_r3,b'07_8',0.246,problin,0.19670106210874727
s7c5/k10_r3,b'16_11',0.054,spalin,0.05356744807663429
s7c5/k10_r3,b'16_11',0.054,problin,0.005000000655950483
s7c5/k10_r3,b'16_10',0.054,spalin,0.05356744807663429
s7c5/k10_r3,b'16_10',0.054,problin,0.005000000655950483
s7c5/k10_r4,b'irtual',0.0,spalin,0.005
s7c5/k10_r4,b'irtual',0.0,problin,0.005000000159162333
s7c5/k10_r4,b'86_2',1.11,spalin,1.3843664918098038
s7c5/k10_r4,b'86_2',1.11,problin,1.5779684738275743
s7c5/k10_r4,b'16_4',0.18,spalin,0.15290644306371343
s7c5/k10_r4,b'16_4',0.18,problin,0.004999999981090074
s7c5/k10_r4,b'16_3',0.18,spalin,0.15290644306371343
s7c5/k10_r4,b'16_3',0.18,problin,0.004999999981090074
s7c5/k10_r4,b'5_2',0.264,spalin,0.056322040749791
s7c5/k10_r4,b'5_2',0.264,problin,0.031082047481893138
s7c5/k10_r4,b'59_8',0.684,spalin,1.2682783286253125
s7c5/k10_r4,b'59_8',0.684,problin,1.5418864262937308
s7c5/k10_r4,b'08_10',0.294,spalin,0.13192302988548693
s7c5/k10_r4,b'08_10',0.294,problin,0.0050000000425251745
s7c5/k10_r4,b'16_13',0.048,spalin,0.08074953561292651
s7c5/k10_r4,b'16_13',0.048,problin,0.004999999990515258
s7c5/k10_r4,b'16_12',0.048,spalin,0.08074953561292651
s7c5/k10_r4,b'16_12',0.048,problin,0.004999999990515258
s7c5/k10_r4,b'05_10',0.276,spalin,0.16972920226790222
s7c5/k10_r4,b'05_10',0.276,problin,0.0050000000425251745
s7c5/k10_r4,b'16_15',0.066,spalin,0.04294336323051118
s7c5/k10_r4,b'16_15',0.066,problin,0.004999999990515258
s7c5/k10_r4,b'16_14',0.066,spalin,0.04294336323051118
s7c5/k10_r4,b'16_14',0.066,problin,0.004999999990515258
s7c5/k10_r4,b'15_3',0.42,spalin,0.9409338832787723
s7c5/k10_r4,b'15_3',0.42,problin,0.9036492388194933
s7c5/k10_r4,b'73_5',0.34800000000000003,spalin,0.23483823509832033
s7c5/k10_r4,b'73_5',0.34800000000000003,problin,0.36101528070955136
s7c5/k10_r4,b'16_5',0.258,spalin,0.3051787757466335
