sample,parentID,child1ID,child2ID,frameDiff,angle
s16c4,92_1,102_1,102_2,10,178.00390411399047
s16c4,93_3,103_3,103_4,10,169.69515353123398
s16c4,149_3,159_5,159_6,10,137.72631099390625
s16c4,151_1,161_1,161_2,10,174.57940471623763
s16c4,151_2,161_3,161_4,10,168.23171106797935
s16c4,181_7,191_7,191_8,10,37.31601817026604
s16c4,194_5,204_7,204_8,10,123.04812486997523
s16c4,195_7,205_9,205_10,10,177.87890360333856
s16c4,202_3,212_3,212_4,10,166.2930389959202
s16c4,203_5,213_5,213_6,10,75.7354877019201
s7c1,4_1,14_1,14_2,10,87.51044707800085
s7c1,60_1,70_1,70_2,10,166.65716630157695
s7c1,67_3,77_3,77_4,10,26.565051177077994
s7c1,105_2,115_3,115_4,10,172.54570118725152
s7c1,106_1,116_1,116_2,10,99.21102654081665
s7c1,121_5,131_5,131_6,10,152.14761988139696
s7c1,123_7,133_7,133_8,10,125.81608074915562
s7c1,144_4,154_5,154_6,10,133.99048721738362
s7c1,150_2,160_3,160_4,10,168.55354090706146
s7c1,156_4,166_5,166_6,10,84.80557109226521
s7c1,158_1,168_1,168_2,10,141.2674814048493
s7c1,173_12,183_15,183_16,10,171.7028550301631
s7c1,174_9,184_9,184_10,10,122.34744349944204
s7c1,176_11,186_12,186_13,10,161.0193935836623
s7c1,182_13,192_17,192_18,10,160.34617594194668
s7c1,184_7,194_10,194_11,10,164.74488129694222
s7c1,186_3,196_3,196_4,10,167.1419098270018
s7c1,187_10,197_13,197_14,10,154.76373635309645
s7c1,189_5,199_7,199_8,10,133.99491399474581
s7c1,193_8,203_11,203_12,10,142.94347181059038
s7c1,196_2,206_3,206_4,10,43.298645394673876
s7c1,197_1,207_1,207_2,10,152.11297316338502
s7c1,199_9,209_9,209_10,10,125.53767779197437
s4c10,31_1,41_1,41_2,10,120.62358202485389
s4c10,81_2,91_3,91_4,10,132.47388308838046
s4c10,83_1,93_1,93_2,10,121.80938928779315
s4c10,129_1,139_1,139_2,10,64.65382405805332
s4c10,130_4,140_5,140_6,10,169.09497795476554
s4c10,130_5,140_7,140_8,10,109.38451567935783
s4c10,135_3,145_3,145_4,10,153.434948822922
s4c10,171_2,181_3,181_4,10,98.56914187983767
s4c10,171_3,181_5,181_6,10,145.7842978675626
s4c10,171_4,181_7,181_8,10,133.9190758133393
s4c10,173_1,183_1,183_2,10,131.67259575827342
s4c10,173_8,183_9,183_10,10,175.6012946450045
s4c10,177_11,187_11,187_12,10,176.98721249581664
s4c10,206_8,216_12,216_13,10,100.30484646876603
s19c3,19_1,29_1,29_2,10,145.2733306416293
s19c3,66_1,76_1,76_2,10,122.52489028779105
s19c3,69_3,79_3,79_4,10,144.85132734280808
s19c3,126_3,136_5,136_6,10,162.1702657743228
s19c3,127_5,137_7,137_8,10,166.36688641100815
s19c3,129_1,139_1,139_2,10,124.50852298766841
s19c3,131_3,141_3,141_4,10,179.82845626253845
s19c3,177_6,187_7,187_8,10,171.99001440805395
s19c3,178_9,188_11,188_12,10,124.14358665193775
s19c3,180_8,190_9,190_10,10,148.09984308226626
s19c3,182_5,192_5,192_6,10,78.801973203046
s4c2,5_1,15_1,15_2,10,145.76253722314246
s4c2,52_2,62_2,62_3,10,112.94356647296064
s4c2,98_1,108_1,108_2,10,142.80640082923574
s4c2,106_3,116_3,116_4,10,141.11550356628544
s4c2,142_2,152_3,152_4,10,153.434948822922
s4c2,149_1,159_1,159_2,10,135.0
s4c2,180_3,190_4,190_5,10,145.13780385308513
s4c2,185_5,195_7,195_8,10,130.2363583092738
s4c2,189_2,199_3,199_4,10,174.71875937155488
s4c2,190_1,200_1,200_2,10,139.3987053549955
s2c3,80_1,90_1,90_2,10,121.82744657667308
s2c3,136_1,146_1,146_2,10,172.44093301895882
s2c3,182_1,192_1,192_2,10,171.32682595212023
s2c3,193_3,203_3,203_4,10,108.43494882292204
s21c1,17_1,27_1,27_2,10,135.61605990839922
s21c1,59_2,69_3,69_4,10,149.62087398863164
s21c1,61_1,71_1,71_2,10,165.32360686254998
s21c1,120_1,130_1,130_2,10,90.0
s21c1,130_3,140_3,140_4,10,115.63265245222377
s21c1,131_5,141_5,141_6,10,165.5297058999341
s21c1,147_7,157_7,157_8,10,122.47119229084848
s21c1,172_2,182_3,182_4,10,148.91249467652
s21c1,177_4,187_5,187_6,10,54.86580694308441
s21c1,177_6,187_9,187_10,10,154.23067237566127
s21c1,181_1,191_1,191_2,10,175.9555144258189
s21c1,184_7,194_7,194_8,10,146.53462065364468
s21c1,184_10,194_11,194_12,10,154.21977342591387
s21c1,201_13,211_13,211_14,10,169.96687944566884
s5c4,14_1,24_1,24_2,10,134.42706130231653
s5c4,70_2,80_3,80_4,10,158.08002724881362
s5c4,76_1,86_1,86_2,10,115.46334506187162
s5c4,129_1,139_1,139_2,10,129.28940686250036
s5c4,130_4,140_5,140_6,10,172.93968806121237
