experiment,method,est_sigma
s17c1_,spalin,1.20099467793688
s17c1_,spalin-divide-beta1,1.049452146721248
s17c1_,spalin-divide-beta3,0.952861619924117
s17c1_,spalin-divide-beta5,0.853751493503759
s17c1_,spalin-divide-beta7,0.772658771587221
s17c1_,spalin-divide-beta10,0.740118100893489
s17c1_,spalin_spatialonly,2.09295901095329
s17c1_,spalin-divide-beta5_spatialonly,0.886079450680743
s15c2_,spalin,1.971002247027965
s15c2_,spalin-divide-beta1,1.359193961273238
s15c2_,spalin-divide-beta3,1.265517673131412
s15c2_,spalin-divide-beta5,1.165316304240592
s15c2_,spalin-divide-beta7,1.057466806102451
s15c2_,spalin-divide-beta10,0.904955112128469
s15c2_,spalin_spatialonly,3.059456362826679
s15c2_,spalin-divide-beta5_spatialonly,1.284280851374447
s15c5_,spalin,2.698500251490131
s15c5_,spalin-divide-beta1,1.597359732278979
s15c5_,spalin-divide-beta3,1.50386221450011
s15c5_,spalin-divide-beta5,1.406269313880659
s15c5_,spalin-divide-beta7,1.27078568892478
s15c5_,spalin-divide-beta10,1.156749760324858
s15c5_,spalin_spatialonly,4.28243922936257
s15c5_,spalin-divide-beta5_spatialonly,1.34210648021916
s7c6_,spalin,3.376610638714328
s7c6_,spalin-divide-beta1,1.818023852859801
s7c6_,spalin-divide-beta3,1.779257772421949
s7c6_,spalin-divide-beta5,1.741186508488565
s7c6_,spalin-divide-beta7,1.704387492437485
s7c6_,spalin-divide-beta10,1.652052283131346
s7c6_,spalin_spatialonly,7.19184567578172
s7c6_,spalin-divide-beta5_spatialonly,1.900539648688537
s7c1_,spalin,2.967894385476297
s7c1_,spalin-divide-beta1,1.68204713000051
s7c1_,spalin-divide-beta3,1.598611274982961
s7c1_,spalin-divide-beta5,1.511664826322434
s7c1_,spalin-divide-beta7,1.421770331254542
s7c1_,spalin-divide-beta10,1.260084865650061
s7c1_,spalin_spatialonly,4.1211755088344
s7c1_,spalin-divide-beta5_spatialonly,1.519253201117574
s5c11_,spalin,2.543516556623034
s5c11_,spalin-divide-beta1,1.524444691453941
s5c11_,spalin-divide-beta3,1.37480501992495
s5c11_,spalin-divide-beta5,1.2131863422727
s5c11_,spalin-divide-beta7,1.044641455117884
s5c11_,spalin-divide-beta10,0.83128764907354
s5c11_,spalin_spatialonly,1.9101646944648
s5c11_,spalin-divide-beta5_spatialonly,1.109643135593066
s5c5_,spalin,2.07057204238265
s5c5_,spalin-divide-beta1,1.393206502954897
s5c5_,spalin-divide-beta3,1.298450392647506
