experiment,character,method,est_sigma
s10c3,k10_,sigma3_spalin_spatialonly,2.91497115101071
s10c3,k50_,sigma05_spalin,0.52102236352681
s10c3,k50_,sigma15_spalin,1.767976129266539
s10c3,k50_,sigma3_spalin,3.249674319776677
s10c3,k200_,sigma05_spalin,0.453522469837606
s10c3,k200_,sigma15_spalin,1.65796994420954
s10c3,k200_,sigma3_spalin,3.068380298600859
s10c4,k10_,sigma05_spalin,0.584774121956181
s10c4,k10_,sigma15_spalin,1.66955653812429
s10c4,k10_,sigma3_spalin,3.27998572252224
s10c4,k10_,sigma05_spalin_spatialonly,0.628850377654665
s10c4,k10_,sigma15_spalin_spatialonly,1.590532438032786
s10c4,k10_,sigma3_spalin_spatialonly,2.52158515759285
s10c4,k50_,sigma05_spalin,0.593838228702101
s10c4,k50_,sigma15_spalin,1.640422921349847
s10c4,k50_,sigma3_spalin,3.059853196388367
s10c4,k200_,sigma05_spalin,0.593533534514957
s10c4,k200_,sigma15_spalin,1.533986625209279
s10c4,k200_,sigma3_spalin,2.909920358040113
s2c1,k10_,sigma05_spalin,0.535593632237583
s2c1,k10_,sigma15_spalin,1.482041358666718
s2c1,k10_,sigma3_spalin,2.16384263977477
s2c1,k10_,sigma05_spalin_spatialonly,0.4785219298711515
s2c1,k10_,sigma15_spalin_spatialonly,1.325781101453591
s2c1,k10_,sigma3_spalin_spatialonly,1.670127131924646
s2c1,k50_,sigma05_spalin,0.554349295738385
s2c1,k50_,sigma15_spalin,1.51353507233099
s2c1,k50_,sigma3_spalin,2.583486329235
s2c1,k200_,sigma05_spalin,0.548448093263487
s2c1,k200_,sigma15_spalin,1.466287994166204
s2c1,k200_,sigma3_spalin,2.58906154033396
s2c6,k10_,sigma05_spalin,0.572837115804342
s2c6,k10_,sigma15_spalin,1.45175031363176
s2c6,k10_,sigma3_spalin,3.19841051879991
s2c6,k10_,sigma05_spalin_spatialonly,0.50881921584004
s2c6,k10_,sigma15_spalin_spatialonly,1.2855700187084
s2c6,k10_,sigma3_spalin_spatialonly,3.28238265256523
s2c6,k50_,sigma05_spalin,0.515229947808615
s2c6,k50_,sigma15_spalin,1.362696338315124
s2c6,k50_,sigma3_spalin,3.175015905559733
s2c6,k200_,sigma05_spalin,0.4830701750939
s2c6,k200_,sigma15_spalin,1.25481599768902
s2c6,k200_,sigma3_spalin,2.8793430916253
s8c1,k10_,sigma05_spalin,0.3553157432252966
s8c1,k10_,sigma15_spalin,1.561832539018419
s8c1,k10_,sigma3_spalin,3.160666322497767
s8c1,k10_,sigma05_spalin_spatialonly,0.3557725154524965
s8c1,k10_,sigma15_spalin_spatialonly,2.065162623037936
s8c1,k10_,sigma3_spalin_spatialonly,3.903374866155221
s8c1,k50_,sigma05_spalin,0.444346898668807
s8c1,k50_,sigma15_spalin,1.966909680307156
s8c1,k50_,sigma3_spalin,3.89247925175513
s8c1,k200_,sigma05_spalin,0.441824314596977
s8c1,k200_,sigma15_spalin,1.835695667282227
s8c1,k200_,sigma3_spalin,3.73418386803019
s2c8,k10_,sigma05_spalin,0.343061096487429
s2c8,k10_,sigma15_spalin,1.115458372192016
s2c8,k10_,sigma3_spalin,2.3735472473267
s2c8,k10_,sigma05_spalin_spatialonly,0.3224450681438974
s2c8,k10_,sigma15_spalin_spatialonly,0.852663806118391
s2c8,k10_,sigma3_spalin_spatialonly,3.499612165160361
s2c8,k50_,sigma05_spalin,0.408796060395179
s2c8,k50_,sigma15_spalin,1.335215740009027
s2c8,k50_,sigma3_spalin,2.600150024669273
s2c8,k200_,sigma05_spalin,0.423997091110688
s2c8,k200_,sigma15_spalin,1.36665301744354
s2c8,k200_,sigma3_spalin,2.692202148305477
s8c6,k10_,sigma05_spalin,0.525513739580829
s8c6,k10_,sigma15_spalin,1.556015618676578
s8c6,k10_,sigma3_spalin,2.265604841677278
s8c6,k10_,sigma05_spalin_spatialonly,0.58416570314473
s8c6,k10_,sigma15_spalin_spatialonly,1.52565311769206
s8c6,k10_,sigma3_spalin_spatialonly,1.619648707712035
s8c6,k50_,sigma05_spalin,0.513368721455746
s8c6,k50_,sigma15_spalin,1.621587499810306
s8c6,k50_,sigma3_spalin,2.586342208858075
s8c6,k200_,sigma05_spalin,0.539717190075537
s8c6,k200_,sigma15_spalin,1.730965190276963
s8c6,k200_,sigma3_spalin,2.834962166372414
s10c5,k10_,sigma05_spalin,0.4570387378609987
s10c5,k10_,sigma15_spalin,1.450469099537112
s10c5,k10_,sigma3_spalin,2.617878627256122
s10c5,k10_,sigma05_spalin_spatialonly,0.283655197116742
