sample,cellID,true_x,true_y,method,est_x,est_y,error
s15c4/k10_r3,91_3,116.0,96.0,spalin,108.99124666506205,90.23442443332118,9.07548813701432
s15c4/k10_r3,91_3,116.0,96.0,problin,109.51891013723775,90.45049451398299,8.53238166917845
s15c4/k10_r3,33_1,131.0,65.0,spalin,109.00736331903107,89.80163500400025,33.14810955473555
s15c4/k10_r3,33_1,131.0,65.0,problin,109.51530033308671,90.00410594800049,32.96661393040385
s15c4/k10_r4,200_4,106.0,82.0,spalin,106.30425538283058,77.35514781214893,4.654806460527254
s15c4/k10_r4,200_4,106.0,82.0,problin,107.05062520540758,78.84737529684625,3.3230792709733823
s15c4/k10_r4,206_4,138.0,95.0,spalin,127.22303980083677,96.92432618413063,10.947415329532312
s15c4/k10_r4,206_4,138.0,95.0,problin,128.92464053840953,97.95304995792011,9.543723246775944
s15c4/k10_r4,157_2,127.0,88.0,spalin,112.70099981694369,88.13348316410195,14.299623211474593
s15c4/k10_r4,157_2,127.0,88.0,problin,111.56560111057186,87.13811558235832,15.458444741543506
s15c4/k10_r4,204_1,94.0,97.0,spalin,90.38443800205062,93.7763643605757,4.843977218854593
s15c4/k10_r4,204_1,94.0,97.0,problin,91.05638724239316,93.51600007120078,4.561042816135225
s15c4/k10_r4,90_1,112.0,77.0,spalin,105.69363349866975,89.90533923952188,14.363775246648892
s15c4/k10_r4,90_1,112.0,77.0,problin,104.70137295160193,89.27272954583381,14.279000220491284
s15c4/k10_r4,191_7,115.0,104.0,spalin,118.63717136260618,111.70528893650304,8.520592298423779
s15c4/k10_r4,191_7,115.0,104.0,problin,118.97486303572751,111.98361751450497,8.918390256694503
s15c4/k10_r4,193_9,139.0,114.0,spalin,135.60919422487694,122.84022620189495,9.46821858140579
s15c4/k10_r4,193_9,139.0,114.0,problin,130.5585425618002,119.85740169490434,10.274597719444143
s15c4/k10_r4,142_4,119.0,105.0,spalin,109.89356597319048,104.60321104755442,9.115074446071034
s15c4/k10_r4,142_4,119.0,105.0,problin,110.25230230843462,106.29887280764436,8.843601385943183
s15c4/k10_r4,194_6,74.0,101.0,spalin,70.37323355827178,104.54449292232889,5.071179833065038
s15c4/k10_r4,194_6,74.0,101.0,problin,68.59896096759483,104.02382477119954,6.189890053666875
s15c4/k10_r4,195_5,80.0,114.0,spalin,78.3295325705966,109.33941190429059,4.950913332968566
s15c4/k10_r4,195_5,80.0,114.0,problin,77.53124879524533,110.97115974617535,3.9075063396194536
s15c4/k10_r4,150_3,85.0,112.0,spalin,79.41230445332468,107.17188025748123,7.384651770424567
s15c4/k10_r4,150_3,85.0,112.0,problin,81.65345027810284,107.16668228874158,5.878805587795387
s15c4/k10_r4,91_3,116.0,96.0,spalin,108.81140511379886,103.81619103714159,10.619262628215285
s15c4/k10_r4,91_3,116.0,96.0,problin,109.92014319418001,106.07789237257356,11.769816203002147
s15c4/k10_r4,33_1,131.0,65.0,spalin,105.69363349866923,89.90533923952134,35.50617000093529
s15c4/k10_r4,33_1,131.0,65.0,problin,104.70137295160039,89.272729545832,35.788031298688686
s15c4/k10_r5,200_4,106.0,82.0,spalin,105.72007467583491,76.9070309932158,5.100655986358362
s15c4/k10_r5,200_4,106.0,82.0,problin,106.01628043951641,78.01397094681758,3.98606230075813
s15c4/k10_r5,206_4,138.0,95.0,spalin,126.52986369133544,96.94892949480753,11.6345327845632
s15c4/k10_r5,206_4,138.0,95.0,problin,126.24594680378743,96.77638211717348,11.887527075283934
